[TableName],[TableID],[MeasureName],[MetricFamilyGuess],[Description],[DisplayFolder],[FormatString],[DataType],[IsHidden],[IsVisible],[MeasureExpression],[ModifiedTime],[StructureModifiedTime]
Metrics,43,Bottler Gross Price per UC AC (LC),Volume,,Bottler Gross Price per UC AC,"#,0.00",8,False,True,"DIVIDE([Bottler Gross Revenue AC (LC)],[Unit Cases AC])",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Price per UC AC (LC) MTD,Volume,,Bottler Gross Price per UC AC,"#,0.00",8,False,True,"
IF(ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Price per UC AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF((ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Price per UC AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Price per UC AC (LC) QTD,Volume,,Bottler Gross Price per UC AC,"#,0.00",8,False,True,"
IF(ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code]) || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Price per UC AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Quarter 445 #] = MAX(Period[Quarter 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Quarter 445 #] = MAX(Period[Quarter 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF(ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]) || (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Price per UC AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_quarter_nbr] = MAX(Period[greg_quarter_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_quarter_nbr] = MAX(Period[greg_quarter_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Price per UC AC (LC) WTD,Volume,,Bottler Gross Price per UC AC,0.00,8,False,True,"IF(ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE ([Bottler Gross Price per UC AC (LC)], FILTER (ALL ( 'Period' ), Period[day_id] >= CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'), Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Week 445 #] = MAX(Period[Week 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'), Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Week 445 #] = MAX(Period[Week 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK())",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Price per UC AC (LC) YTD,Volume,,Bottler Gross Price per UC AC,"#,0.00",8,False,True,"IF(ISFILTERED(Period[Quarter 445]) || ISFILTERED(Period[Quarter 445 Code]) || ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code]) || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) ||
 ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]), CALCULATE([Bottler Gross Price per UC AC (LC)],
FILTER(ALL('Period'),Period[Year 445 Code Sort]= MAX (Period[Year 445 Code Sort])
 && 'Period'[day_id] <= MAX ('Period'[day_id]))), IF(ISFILTERED(Period[Quarter Cal]) || ISFILTERED(Period[Quarter Cal Code]) || ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]) 
|| (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE([Bottler Gross Price per UC AC (LC)],FILTER(ALL('Period'),Period[Year 445 Code Sort]= MAX (Period[Year 445 Code Sort])
 && 'Period'[day_id] <= MAX ('Period'[day_id]))),BLANK()))",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Price per UC AC (USD),Volume,,Bottler Gross Price per UC AC,"#,0.00",8,False,True,"DIVIDE([Bottler Gross Revenue AC (USD)],[Unit Cases AC])",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Price per UC AC (USD) MTD,Volume,,Bottler Gross Price per UC AC,"#,0.00",8,False,True,"
IF(ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Price per UC AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF((ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Price per UC AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Price per UC AC (USD) QTD,Volume,,Bottler Gross Price per UC AC,"#,0.00",8,False,True,"
IF(ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code]) || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Price per UC AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Quarter 445 #] = MAX(Period[Quarter 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Quarter 445 #] = MAX(Period[Quarter 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF(ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]) || (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Price per UC AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_quarter_nbr] = MAX(Period[greg_quarter_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_quarter_nbr] = MAX(Period[greg_quarter_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Price per UC AC (USD) WTD,Volume,,Bottler Gross Price per UC AC,0.00,8,False,True,"IF(ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Price per UC AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >= CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Week 445 #] = MAX(Period[Week 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Week 445 #] = MAX(Period[Week 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK())",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Price per UC AC (USD) YTD,Volume,,Bottler Gross Price per UC AC,"#,0.00",8,False,True,"IF(ISFILTERED(Period[Quarter 445]) || ISFILTERED(Period[Quarter 445 Code]) || ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code]) || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) ||
 ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]), CALCULATE([Bottler Gross Price per UC AC (USD)],
FILTER(ALL('Period'),Period[Year 445 Code Sort]= MAX (Period[Year 445 Code Sort])
 && 'Period'[day_id] <= MAX ('Period'[day_id]))), IF(ISFILTERED(Period[Quarter Cal]) || ISFILTERED(Period[Quarter Cal Code]) || ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]) 
|| (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE([Bottler Gross Price per UC AC (USD)],FILTER(ALL('Period'),Period[Year 445 Code Sort]= MAX (Period[Year 445 Code Sort])
 && 'Period'[day_id] <= MAX ('Period'[day_id]))),BLANK()))",2026-02-26 06:36:26,2025-12-02 10:00:02
