[ID],[TableID],[Name],[Description],[DataType],[Expression],[FormatString],[IsHidden],[State],[ModifiedTime],[StructureModifiedTime],[KPIID],[IsSimpleMeasure],[ErrorMessage],[DisplayFolder],[DetailRowsDefinitionID],[DataCategory],[LineageTag],[SourceLineageTag]
2051,43,Bottler Gross Price per UC AC (LC),,8,"DIVIDE([Bottler Gross Revenue AC (LC)],[Unit Cases AC])","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Price per UC AC,,,87bc372d-9645-4d8d-a055-c8610581a78f,
2052,43,Bottler Gross Price per UC AC (LC) MTD,,8,"
IF(ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Price per UC AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF((ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Price per UC AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Price per UC AC,,,a30d89ba-cb57-46b5-afb3-75a29317bb8f,
2053,43,Bottler Gross Price per UC AC (LC) QTD,,8,"
IF(ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code]) || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Price per UC AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Quarter 445 #] = MAX(Period[Quarter 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Quarter 445 #] = MAX(Period[Quarter 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF(ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]) || (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Price per UC AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_quarter_nbr] = MAX(Period[greg_quarter_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_quarter_nbr] = MAX(Period[greg_quarter_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Price per UC AC,,,b3b796e1-067a-48bc-97b8-4308c3cde616,
2054,43,Bottler Gross Price per UC AC (LC) WTD,,8,"IF(ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE ([Bottler Gross Price per UC AC (LC)], FILTER (ALL ( 'Period' ), Period[day_id] >= CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'), Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Week 445 #] = MAX(Period[Week 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'), Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Week 445 #] = MAX(Period[Week 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK())",0.00,False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Price per UC AC,,,0bca86b9-0664-4dc7-a8c1-0d2955124ebd,
2055,43,Bottler Gross Price per UC AC (LC) YTD,,8,"IF(ISFILTERED(Period[Quarter 445]) || ISFILTERED(Period[Quarter 445 Code]) || ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code]) || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) ||
 ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]), CALCULATE([Bottler Gross Price per UC AC (LC)],
FILTER(ALL('Period'),Period[Year 445 Code Sort]= MAX (Period[Year 445 Code Sort])
 && 'Period'[day_id] <= MAX ('Period'[day_id]))), IF(ISFILTERED(Period[Quarter Cal]) || ISFILTERED(Period[Quarter Cal Code]) || ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]) 
|| (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE([Bottler Gross Price per UC AC (LC)],FILTER(ALL('Period'),Period[Year 445 Code Sort]= MAX (Period[Year 445 Code Sort])
 && 'Period'[day_id] <= MAX ('Period'[day_id]))),BLANK()))","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Price per UC AC,,,10bf6451-6df7-4b68-a64a-b770a31a5cf4,
2056,43,Bottler Gross Price per UC AC (USD),,8,"DIVIDE([Bottler Gross Revenue AC (USD)],[Unit Cases AC])","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Price per UC AC,,,eb3f141d-642b-4ba9-b78b-03fcc5978976,
2057,43,Bottler Gross Price per UC AC (USD) MTD,,8,"
IF(ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Price per UC AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF((ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Price per UC AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Price per UC AC,,,49c88556-f444-4cc4-9925-e3c8c8ff7b2e,
2058,43,Bottler Gross Price per UC AC (USD) QTD,,8,"
IF(ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code]) || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Price per UC AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Quarter 445 #] = MAX(Period[Quarter 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Quarter 445 #] = MAX(Period[Quarter 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF(ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]) || (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Price per UC AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_quarter_nbr] = MAX(Period[greg_quarter_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_quarter_nbr] = MAX(Period[greg_quarter_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Price per UC AC,,,cea8d00c-caa3-4275-9000-8386db3e4025,
2059,43,Bottler Gross Price per UC AC (USD) WTD,,8,"IF(ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Price per UC AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >= CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Week 445 #] = MAX(Period[Week 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Week 445 #] = MAX(Period[Week 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK())",0.00,False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Price per UC AC,,,a85b31de-ac60-449c-97bf-c79304346979,
2060,43,Bottler Gross Price per UC AC (USD) YTD,,8,"IF(ISFILTERED(Period[Quarter 445]) || ISFILTERED(Period[Quarter 445 Code]) || ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code]) || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) ||
 ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]), CALCULATE([Bottler Gross Price per UC AC (USD)],
FILTER(ALL('Period'),Period[Year 445 Code Sort]= MAX (Period[Year 445 Code Sort])
 && 'Period'[day_id] <= MAX ('Period'[day_id]))), IF(ISFILTERED(Period[Quarter Cal]) || ISFILTERED(Period[Quarter Cal Code]) || ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]) 
|| (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE([Bottler Gross Price per UC AC (USD)],FILTER(ALL('Period'),Period[Year 445 Code Sort]= MAX (Period[Year 445 Code Sort])
 && 'Period'[day_id] <= MAX ('Period'[day_id]))),BLANK()))","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Price per UC AC,,,5ba5a615-cc7a-4349-84f4-2e0d1474e1c1,
